Scope,Category,Metric,Top_Performer,Top_Value,Lowest_Performer,Lowest_Value
Global,Traffic Source,Website_Sessions,Organic Search,749878.0,Paid Social Media,2556.79
Global,Platform,Website_Sessions,Google Ads,55481.11,X,1229.22
Global,Campaign Category,Website_Sessions,Paid Search,33347.5,Paid Social Media,2556.79
Global,Campaign Type,Website_Sessions,"Brand Keywords (Prada, Miu Miu)",60023.5,Influencer/KOL Discussion,736.0
Global,Traffic Source,Returning_Customer_Ratio (%),SMS,88.59,Paid Social Media,43.11
Global,Platform,Returning_Customer_Ratio (%),SMS,88.59,TikTok,28.47
Global,Campaign Category,Returning_Customer_Ratio (%),SMS,88.59,Paid Social Media,43.11
Global,Campaign Type,Returning_Customer_Ratio (%),Back-in-Stock Alert,100.0,Influencer/KOL (Celebrity),20.11
Global,Traffic Source,CAC ($),Paid Search,5895.9,SMS,3949.79
Global,Platform,CAC ($),X,6237.52,SMS,3949.79
Global,Campaign Category,CAC ($),Paid Search,5895.9,SMS,3949.79
Global,Campaign Type,CAC ($),Influencer/KOL Discussion,7215.71,Cart Abandonment Alert,3949.79
Global,Traffic Source,CLV ($),SMS,4285.29,Paid Search,2324.99
Global,Platform,CLV ($),SMS,4285.29,TikTok,1751.04
Global,Campaign Category,CLV ($),SMS,4285.29,Paid Search,2324.99
Global,Campaign Type,CLV ($),Back-in-Stock Alert,4652.89,Influencer/KOL (Viral/Trend),117.53
Global,Traffic Source,Bounce_Rate (%),Paid Social Media,55.0,Direct,34.97
Global,Platform,Bounce_Rate (%),YouTube,55.47,Email,41.87
Global,Campaign Category,Bounce_Rate (%),Paid Social Media,55.0,Email,41.87
Global,Campaign Type,Bounce_Rate (%),Brand Awareness (Editorial/Runway),55.86,Newsletter / Brand Story,41.69
Global,Traffic Source,Cart_Abandonment_Rate (%),Paid Social Media,90.13,SMS,83.29
Global,Platform,Cart_Abandonment_Rate (%),X,94.54,Google Ads,82.51
Global,Campaign Category,Cart_Abandonment_Rate (%),Paid Social Media,90.13,SMS,83.29
Global,Campaign Type,Cart_Abandonment_Rate (%),Brand Awareness (Behind the scenes),100.0,Product Highlight (Short-form),82.15
Global,Traffic Source,AOV ($),Direct,593.35,Paid Social Media,524.66
Global,Platform,AOV ($),SMS,591.15,YouTube,520.42
