Region,Traffic_Source,Platform,Campaign_Category,Campaign_Type,Website_Sessions,Bounces,Add_To_Cart_Events,Transactions,Total_Revenue,Returning_Transactions,New_Customer_Transactions,Campaign_Ad_Spend,Impressions,Clicks,Total_Engagements,Allocated_New_Customers,Allocated_Returning_Customers,Allocated_Total_Marketing_Spend,Historical_Ecom_Lifetime_Value,Historical_AOV,CTR (%),ER (%),Bounce_Rate (%),Conversion_Rate (%),Cart_Abandonment_Rate (%),AOV ($),Returning_Customer_Ratio (%),CAC ($),Campaign_CAC ($),Campaign_ROI (%),CLV ($)
APAC,Direct,None,None,None,806056,282110,78574,13039,9220281.59,9642,3397,0.0,0.0,0.0,0.0,2646.52,7695.09,13361066.82,3958.81,695.23,,,35.0,1.62,83.41,707.13,73.95,5048.53,0.0,,3958.81
APAC,Email,Email,Email,Cart Abandonment Flow,24124,10149,5519,894,617404.73,467,427,182.46,510137.0,26102.0,0.0,183.04,191.16,757740.8,3216.76,585.38,5.12,,42.07,3.71,83.8,690.61,52.24,4139.77,0.43,338278.13,3216.76
APAC,Email,Email,Email,Newsletter / Brand Story,13830,5764,1755,280,195572.24,280,0,97.01,272453.0,13874.0,0.0,0.0,194.73,16623.48,4634.92,797.41,5.09,,41.68,2.02,84.05,698.47,100.0,,,201500.08,4634.92
APAC,Email,Email,Email,VIP Early Access / Private Sale,17055,7140,2127,355,245763.99,355,0,129.19,366698.0,18475.0,0.0,0.0,236.44,20621.38,4634.31,794.21,5.04,,41.86,2.08,83.31,692.29,100.0,,,190134.53,4634.31
APAC,Email,Email,Email,Welcome Series,13920,5742,1459,249,176290.3,0,249,98.74,285342.0,14117.0,0.0,163.47,0.0,733040.61,148.5,132.58,4.95,,41.25,1.79,82.93,707.99,0.0,4484.31,0.4,178439.9,148.5
APAC,Organic Search,None,None,None,1034216,362552,83839,13911,9212365.81,6209,7702,0.0,0.0,0.0,0.0,6538.18,5534.6,32466542.69,2929.75,541.01,,,35.06,1.35,83.41,662.24,44.63,4965.68,0.0,,2929.75
APAC,Paid Search,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",27995,11719,1562,247,156516.95,202,45,167465.4,438589.0,28687.0,0.0,56.43,286.83,310487.61,4203.52,733.19,6.54,,41.86,0.88,84.19,633.67,81.78,5501.8,3721.45,-6.54,4203.52
APAC,Paid Search,Bing Ads,Paid Search,Competitor Conquesting,4295,1803,76,0,0.0,0,0,29071.71,72185.0,4959.0,0.0,13.8,24.69,101780.96,3384.39,601.99,6.87,,41.98,0.0,100.0,,,7375.64,,-100.0,3384.39
APAC,Paid Search,Bing Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",14263,5999,239,40,26555.27,0,40,91564.15,235052.0,15440.0,0.0,116.17,0.0,665767.48,117.7,108.0,6.57,,42.06,0.28,83.26,663.88,0.0,5730.87,2289.1,-71.0,117.7
APAC,Paid Search,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",137476,57559,7991,1348,860667.59,1136,212,852171.94,2178316.0,143312.0,0.0,253.85,1428.48,1493281.5,4220.61,734.1,6.58,,41.87,0.98,83.13,638.48,84.27,5882.57,4019.68,1.0,4220.61
APAC,Paid Search,Google Ads,Paid Search,Competitor Conquesting,23479,9823,22,3,1688.05,0,3,160673.2,416136.0,26600.0,0.0,175.34,0.0,1076523.86,110.1,99.85,6.39,,41.84,0.01,86.36,562.68,0.0,6139.81,53557.73,-98.95,110.1
APAC,Paid Search,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",68759,28925,1465,254,159903.4,52,202,424111.67,1080610.0,71601.0,0.0,468.52,175.46,2633483.54,1907.78,380.37,6.63,,42.07,0.37,82.66,629.54,20.47,5620.89,2099.56,-62.3,1907.78
APAC,Paid Social Media,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),6123,3397,919,0,0.0,0,0,8816.66,260992.0,6187.0,14066.0,26.08,37.67,165895.44,3338.82,593.07,2.37,5.39,55.48,0.0,100.0,,,6359.88,,-100.0,3338.82
APAC,Paid Social Media,Instagram,Paid Social Media,Influencer/KOL (Celebrity),7112,3881,999,164,105460.48,39,125,9841.18,295717.0,6981.0,15846.0,71.32,21.39,316076.61,1775.7,372.56,2.36,5.36,54.57,2.31,83.58,643.05,23.78,4431.82,78.73,971.62,1775.7
APAC,Paid Social Media,Instagram,Paid Social Media,Product Highlight (Carousel),5252,2896,789,129,80943.11,70,59,7598.21,225790.0,5417.0,12022.0,29.31,36.87,148626.67,3320.75,588.95,2.4,5.32,55.14,2.46,83.65,627.47,54.26,5071.44,128.78,965.29,3320.75
APAC,Paid Social Media,Instagram,Paid Social Media,Promo/Giveaway (Limited Drop),2030,1100,316,43,27215.08,35,8,2825.1,88564.0,2096.0,4803.0,5.79,22.48,25369.77,4217.88,727.59,2.37,5.42,54.19,2.12,86.39,632.91,81.4,4379.41,353.14,863.33,4217.88
APAC,Paid Social Media,TikTok,Paid Social Media,Brand Awareness (Behind the scenes),2068,1097,320,0,0.0,0,0,2763.56,84660.0,1948.0,6990.0,9.68,12.38,54819.03,3282.43,599.72,2.3,8.26,53.05,0.0,100.0,,,5665.99,,-100.0,3282.43
APAC,Paid Social Media,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),5177,2890,73,13,7878.23,0,13,7438.48,226645.0,5349.0,18324.0,43.28,0.0,245703.22,120.65,105.11,2.36,8.08,55.82,0.25,82.19,606.02,0.0,5677.0,572.19,5.91,120.65
APAC,Paid Social Media,TikTok,Paid Social Media,Product Highlight (Short-form),3141,1728,461,84,53184.46,25,59,4566.91,138479.0,3228.0,11153.0,29.48,11.09,142615.78,1791.11,363.71,2.33,8.05,55.01,2.67,81.78,633.15,29.76,4838.4,77.41,1064.56,1791.11
APAC,Paid Social Media,X,Paid Social Media,Brand Awareness (Conversation Driven),1940,1035,286,0,0.0,0,0,2893.92,88431.0,2088.0,4788.0,8.67,11.53,48451.05,3278.91,584.69,2.36,5.41,53.35,0.0,100.0,,,5590.97,,-100.0,3278.91
APAC,Paid Social Media,X,Paid Social Media,Influencer/KOL Discussion,1058,556,189,0,0.0,0,0,1497.28,46605.0,1103.0,2473.0,3.9,6.4,30873.95,3254.99,583.64,2.37,5.31,52.55,0.0,100.0,,,7920.43,,-100.0,3254.99
APAC,Paid Social Media,X,Paid Social Media,Product Launch Announcement,2024,1154,308,52,31999.86,33,19,3004.26,94192.0,2146.0,5049.0,10.91,15.23,59952.76,3250.12,575.55,2.28,5.36,57.02,2.57,83.12,615.38,63.46,5496.61,158.12,965.15,3250.12
APAC,Paid Social Media,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),4835,2721,766,0,0.0,0,0,6415.93,196379.0,4661.0,10236.0,20.26,30.58,131241.09,3313.88,585.38,2.37,5.21,56.28,0.0,100.0,,,6476.84,,-100.0,3313.88
APAC,Paid Social Media,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),3216,1785,473,68,42323.78,17,51,4613.67,139582.0,3380.0,7264.0,33.37,10.34,144804.36,1817.9,377.68,2.42,5.2,55.5,2.11,85.62,622.41,25.0,4339.99,90.46,817.36,1817.9
APAC,Paid Social Media,YouTube,Paid Social Media,Product Highlight (Detailed Review),1867,1017,282,50,31755.04,26,24,2566.26,79857.0,1856.0,4339.0,13.43,15.44,52555.66,3322.66,611.04,2.32,5.43,54.47,2.68,82.27,635.1,52.0,3912.47,106.93,1137.41,3322.66
APAC,SMS,SMS,SMS,Back-in-Stock Alert,14195,5891,4015,671,473217.76,671,0,206.98,184759.0,14791.0,0.0,0.0,233.02,17525.63,4664.37,797.42,8.01,,41.5,4.73,83.29,705.24,100.0,,,228529.7,4664.37
APAC,SMS,SMS,SMS,Cart Abandonment Alert,27118,11415,7309,1157,819929.79,614,543,407.2,355678.0,29087.0,0.0,223.5,223.39,888017.76,3194.29,587.77,8.18,,42.09,4.27,84.17,708.67,53.07,3973.21,0.75,201258.0,3194.29
APAC,SMS,SMS,SMS,Flash Sale / Price Drop Alert,21208,8796,3308,567,396467.61,567,0,303.88,263204.0,21704.0,0.0,0.0,307.34,25841.46,4640.75,799.01,8.25,,41.47,2.67,82.86,699.24,100.0,,,130368.48,4640.75
APAC,SMS,SMS,SMS,VIP Event Invitation,6453,2735,1003,174,124946.01,174,0,89.27,81760.0,6380.0,0.0,0.0,96.22,7738.43,4637.6,797.8,7.8,,42.38,2.7,82.65,718.08,100.0,,,139864.16,4637.6
Europe,Direct,None,None,None,542197,189180,43972,7366,3917504.82,5417,1949,0.0,0.0,0.0,0.0,1698.38,5079.16,8688164.58,3961.68,695.12,,,34.89,1.36,83.25,531.84,73.54,5115.55,0.0,,3961.68
Europe,Email,Email,Email,Cart Abandonment Flow,16245,6768,3077,540,277505.99,296,244,94.13,310787.0,15966.0,0.0,114.31,122.78,475743.62,3239.42,586.45,5.14,,41.66,3.32,82.45,513.9,54.81,4161.84,0.39,294711.42,3239.42
Europe,Email,Email,Email,Newsletter / Brand Story,9380,3898,1002,149,76445.79,149,0,59.45,190856.0,10081.0,0.0,0.0,121.19,11370.29,4601.63,790.72,5.28,,41.56,1.59,85.13,513.06,100.0,,,128488.38,4601.63
Europe,Email,Email,Email,VIP Early Access / Private Sale,11539,4885,1158,204,106130.04,204,0,64.73,209811.0,10980.0,0.0,0.0,157.06,13831.81,4637.44,794.5,5.23,,42.33,1.77,82.38,520.25,100.0,,,163858.04,4637.44
Europe,Email,Email,Email,Welcome Series,9492,3973,812,133,68627.99,0,133,63.18,213972.0,10719.0,0.0,97.28,0.0,485179.15,132.71,117.2,5.01,,41.86,1.4,83.62,516.0,0.0,4987.63,0.48,108522.97,132.71
Europe,Organic Search,None,None,None,698525,244461,47532,8001,3960789.03,3583,4418,0.0,0.0,0.0,0.0,4192.56,3736.97,21240087.38,2939.29,539.65,,,35.0,1.15,83.17,495.04,44.78,5066.14,0.0,,2939.29
Europe,Paid Search,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",18636,7820,888,150,70861.43,127,23,97661.73,300385.0,19726.0,0.0,29.14,188.32,196311.01,4205.34,732.87,6.57,,41.96,0.8,83.11,472.41,84.67,6735.86,4246.16,-27.44,4205.34
Europe,Paid Search,Bing Ads,Paid Search,Competitor Conquesting,2992,1274,64,0,0.0,0,0,15518.6,46668.0,3106.0,0.0,10.98,17.15,64121.04,3446.5,606.85,6.66,,42.58,0.0,100.0,,,5837.43,,-100.0,3446.5
Europe,Paid Search,Bing Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",9541,4036,150,27,12702.11,0,27,42317.24,134147.0,8799.0,0.0,75.81,0.0,442845.23,112.3,101.36,6.56,,42.3,0.28,82.0,470.45,0.0,5841.38,1567.31,-69.98,112.3
Europe,Paid Search,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",93070,39370,4467,711,339224.24,604,107,499680.87,1540979.0,100068.0,0.0,170.58,948.66,999584.59,4220.6,733.88,6.49,,42.3,0.76,84.08,477.11,84.95,5859.97,4669.91,-32.11,4220.6
