Campaign_ID,Region,Platform,Campaign_Category,Campaign_Type,Impressions,Clicks,Total_Engagements,Campaign_Ad_Spend
CMP_00000,APAC,SMS,SMS,Back-in-Stock Alert,522,48,0,0.67
CMP_00001,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1054,97,0,625.21
CMP_00002,Europe,Google Ads,Paid Search,Competitor Conquesting,744,67,0,256.41
CMP_00003,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1077,77,0,432.47
CMP_00004,APAC,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),431,9,20,12.05
CMP_00005,North America,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1111,84,0,223.66
CMP_00006,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",680,66,0,457.91
CMP_00007,North America,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),278,8,14,4.98
CMP_00008,Europe,Google Ads,Paid Search,Competitor Conquesting,1530,85,0,483.33
CMP_00009,APAC,TikTok,Paid Social Media,Product Highlight (Short-form),534,10,62,17.85
CMP_00010,North America,SMS,SMS,Cart Abandonment Alert,497,57,0,0.57
CMP_00011,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1428,85,0,459.38
CMP_00012,APAC,Email,Email,Cart Abandonment Flow,1112,49,0,0.34
CMP_00013,Europe,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1753,78,0,548.02
CMP_00014,North America,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1191,106,0,527.24
CMP_00015,Europe,Email,Email,Welcome Series,792,38,0,0.22
CMP_00016,APAC,Email,Email,VIP Early Access / Private Sale,923,43,0,0.3
CMP_00017,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),236,7,14,13.59
CMP_00018,Europe,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1132,97,0,511.0
CMP_00019,North America,Instagram,Paid Social Media,Influencer/KOL (Celebrity),891,21,27,12.77
CMP_00020,APAC,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),357,9,26,9.44
CMP_00021,APAC,Email,Email,Cart Abandonment Flow,1683,57,0,0.4
CMP_00022,APAC,Google Ads,Paid Search,Competitor Conquesting,1197,106,0,699.99
CMP_00023,North America,Email,Email,Welcome Series,803,60,0,0.3
CMP_00024,Europe,Email,Email,Newsletter / Brand Story,1154,53,0,0.31
CMP_00025,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",875,78,0,601.97
CMP_00026,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),360,7,19,8.21
CMP_00027,North America,Instagram,Paid Social Media,Influencer/KOL (Celebrity),240,7,11,10.3
CMP_00028,North America,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1446,84,0,293.74
CMP_00029,APAC,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),374,6,16,11.83
CMP_00030,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",857,85,0,398.32
CMP_00031,Europe,Email,Email,Cart Abandonment Flow,783,52,0,0.31
CMP_00032,APAC,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),155,4,5,7.48
CMP_00033,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1245,94,0,641.09
CMP_00034,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),322,9,18,15.01
CMP_00035,APAC,SMS,SMS,Flash Sale / Price Drop Alert,406,30,0,0.42
CMP_00036,APAC,SMS,SMS,Back-in-Stock Alert,793,54,0,0.76
CMP_00037,Europe,Email,Email,VIP Early Access / Private Sale,885,50,0,0.29
CMP_00038,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",967,91,0,600.8
CMP_00039,APAC,Instagram,Paid Social Media,Product Highlight (Carousel),273,9,20,16.13
CMP_00040,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",745,70,0,381.82
CMP_00041,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1885,76,0,325.88
CMP_00042,Europe,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),205,4,13,3.48
CMP_00043,APAC,X,Paid Social Media,Product Launch Announcement,312,10,19,14.96
CMP_00044,APAC,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),553,11,43,13.75
CMP_00045,North America,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),598,15,35,14.89
CMP_00046,APAC,X,Paid Social Media,Brand Awareness (Conversation Driven),710,11,44,10.43
CMP_00047,North America,SMS,SMS,VIP Event Invitation,764,58,0,0.58
CMP_00048,APAC,SMS,SMS,Cart Abandonment Alert,348,41,0,0.57
CMP_00049,North America,Email,Email,Cart Abandonment Flow,1177,58,0,0.29
CMP_00050,North America,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),306,8,23,9.57
CMP_00051,Europe,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",643,64,0,225.83
CMP_00052,Europe,SMS,SMS,Back-in-Stock Alert,556,55,0,0.65
CMP_00053,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),288,9,20,14.52
CMP_00054,North America,TikTok,Paid Social Media,Product Highlight (Short-form),452,14,42,16.83
CMP_00055,North America,SMS,SMS,Cart Abandonment Alert,720,55,0,0.55
CMP_00056,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),287,7,24,7.71
CMP_00057,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",872,78,0,346.13
CMP_00058,APAC,TikTok,Paid Social Media,Product Highlight (Short-form),569,11,52,9.01
CMP_00059,APAC,TikTok,Paid Social Media,Product Highlight (Short-form),684,19,68,39.26
